primary_name,primary_title,weighted_rating
Erik Sommers,Spider-Man: Homecoming,7.435338697812107
Jonathan Goldstein,Spider-Man: Homecoming,7.435338697812107
John Francis Daley,Spider-Man: Homecoming,7.435338697812107
Christopher Ford,Spider-Man: Homecoming,7.435338697812107
Chris McKenna,Spider-Man: Homecoming,7.435338697812107
Chad Hayes,The Conjuring,7.430887033936239
Carey W. Hayes,The Conjuring,7.430887033936239
Michele Mulroney,Sherlock Holmes: A Game of Shadows,7.430385160393045
Kieran Mulroney,Sherlock Holmes: A Game of Shadows,7.430385160393045
Arthur Conan Doyle,Sherlock Holmes: A Game of Shadows,7.430385160393045
Umberto Contarello,The Great Beauty,7.422991716085799
Morgan Jurgenson,Tucker and Dale vs Evil,7.422753351161438
Sev Ohanian,Searching,7.422079054564969
Michael Bacall,Scott Pilgrim vs. the World,7.419904662703314
Bryan Lee O'Malley,Scott Pilgrim vs. the World,7.419904662703314
Zak Penn,Ready Player One,7.410666212575767
Ernest Cline,Ready Player One,7.410666212575767
Derek Kolstad,John Wick: Chapter 2,7.407375028963381
John Logan,Hugo,7.405825445591524
Brian Selznick,Hugo,7.405825445591524
Tatjana Mülbeier,Tangerines,7.401720732583192
Artur Veeber,Tangerines,7.401720732583192
Marcus Luttrell,Lone Survivor,7.392572273699479
Patrick Robinson,Lone Survivor,7.392572273699479
Uzodinma Iweala,Beasts of No Nation,7.386902992218205
Thierry Jonquet,The Skin I Live In,7.386559851516499
Agustín Almodóvar,The Skin I Live In,7.386559851516499
Shoojit Sircar,Pink,7.384426866766833
Ritesh Shah,Pink,7.384426866766833
Robert A. Heinlein,Predestination,7.383435623869079
Markus Zusak,The Book Thief,7.380022808856918
Michael Petroni,The Book Thief,7.380022808856918
Deborah Davis,The Favourite,7.375324088191701
Tony McNamara,The Favourite,7.375324088191701
Austin Wright,Nocturnal Animals,7.373254973071578
Todd Komarnicki,Sully,7.371851259013341
Chesley Sullenberger,Sully,7.371851259013341
Jeffrey Zaslow,Sully,7.371851259013341
Mark Bomback,War for the Planet of the Apes,7.371413636904421
Rick Jaffa,War for the Planet of the Apes,7.371413636904421
Amanda Silver,War for the Planet of the Apes,7.371413636904421
Pierre Boulle,War for the Planet of the Apes,7.371413636904421
Andrew Scheinman,Flipped,7.357966769064511
Wendelin Van Draanen,Flipped,7.357966769064511
Emily V. Gordon,The Big Sick,7.354420074724048
Simon Farnaby,Paddington 2,7.351857486604832
Michael Bond,Paddington 2,7.351857486604832
Jon Croker,Paddington 2,7.351857486604832
Simon Stephenson,Paddington 2,7.351857486604832
Leslie Dixon,Limitless,7.348440018164602
Alan Glynn,Limitless,7.348440018164602
Derek Kolstad,John Wick,7.34382098235153
Fran Walsh,The Hobbit: The Battle of the Five Armies,7.342449166452771
Philippa Boyens,The Hobbit: The Battle of the Five Armies,7.342449166452771
Guillermo del Toro,The Hobbit: The Battle of the Five Armies,7.342449166452771
J.R.R. Tolkien,The Hobbit: The Battle of the Five Armies,7.342449166452771
Dan Fogelman,"Crazy, Stupid, Love.",7.342225981421736
Sanjay Chauhan,Paan Singh Tomar,7.341453018961616
Bruce Geller,Mission: Impossible - Ghost Protocol,7.341118291837879
Josh Appelbaum,Mission: Impossible - Ghost Protocol,7.341118291837879
André Nemec,Mission: Impossible - Ghost Protocol,7.341118291837879
Carl Lund,Detachment,7.338513785044258
Paul Laverty,"I, Daniel Blake",7.3337893786127175
Charlie Wachtel,BlacKkKlansman,7.332293468578489
David Rabinowitz,BlacKkKlansman,7.332293468578489
Kevin Willmott,BlacKkKlansman,7.332293468578489
Ron Stallworth,BlacKkKlansman,7.332293468578489
Chase Palmer,It,7.330538460336923
Cary Joji Fukunaga,It,7.330538460336923
Gary Dauberman,It,7.330538460336923
Stephen King,It,7.330538460336923
Cinco Paul,Despicable Me 2,7.327736708826476
Ken Daurio,Despicable Me 2,7.327736708826476
Ulf Ryberg,Headhunters,7.3274592244034205
Lars Gudmestad,Headhunters,7.3274592244034205
Jo Nesbø,Headhunters,7.3274592244034205
Steven Rogers,"I, Tonya",7.324910750713994
David Mitchell,Cloud Atlas,7.324085847277031
Chris Lindsay,Cloud Atlas,7.324085847277031
Kelly Marcel,Saving Mr. Banks,7.323864514298821
Sue Smith,Saving Mr. Banks,7.323864514298821
Jeff Pope,Philomena,7.3213662228241745
Martin Sixsmith,Philomena,7.3213662228241745
Drew Pearce,Mission: Impossible - Rogue Nation,7.320755990424824
Bruce Geller,Mission: Impossible - Rogue Nation,7.320755990424824
Satoko Okudera,Wolf Children,7.319665218389587
Tai-lee Chan,Ip Man 2,7.31617925035386
Hiu-Yan Choi,Ip Man 2,7.31617925035386
Edmond Wong,Ip Man 2,7.31617925035386
Tom Flynn,Gifted,7.305082801184071
Rory Stewart Kinnear,We Need to Talk About Kevin,7.30364707742617
Lionel Shriver,We Need to Talk About Kevin,7.30364707742617
Mark Boal,Zero Dark Thirty,7.303352114665739
Elizabeth Berger,"Love, Simon",7.3027278911564615
Isaac Aptaker,"Love, Simon",7.3027278911564615
Becky Albertalli,"Love, Simon",7.3027278911564615
Abhiruchi Chand,Sanju,7.301558275930536
Abhijat Joshi,Sanju,7.301558275930536
Justin Marks,The Jungle Book,7.299625029625199
Rudyard Kipling,The Jungle Book,7.299625029625199
Anthony Bagarozzi,The Nice Guys,7.299441936103899
Lawrence Wright,Going Clear: Scientology & the Prison of Belief,7.298133008907673
Tony Kushner,Lincoln,7.294829839062518
Doris Kearns Goodwin,Lincoln,7.294829839062518
Nick Hornby,Brooklyn,7.294524929411848
Colm Tóibín,Brooklyn,7.294524929411848
Tarell Alvin McCraney,Moonlight,7.294523430211415
Lisa Genova,Still Alice,7.294251121044615
Stephen Beresford,Pride,7.28747712062148
