primary_name,primary_title,weighted_rating
Alexander Payne,Nebraska,7.43767670217338
Jon Watts,Spider-Man: Homecoming,7.435338697812107
Neeraj Pandey,Baby,7.431493289505987
James Wan,The Conjuring,7.430887033936239
Guy Ritchie,Sherlock Holmes: A Game of Shadows,7.430385160393045
Paolo Sorrentino,The Great Beauty,7.422991716085799
Eli Craig,Tucker and Dale vs Evil,7.422753351161438
Aneesh Chaganty,Searching,7.422079054564969
Edgar Wright,Scott Pilgrim vs. the World,7.419904662703314
Steven Spielberg,Ready Player One,7.410666212575767
Chad Stahelski,John Wick: Chapter 2,7.407375028963381
Neeraj Pandey,Special 26,7.407078692442282
Martin Scorsese,Hugo,7.405825445591524
Zaza Urushadze,Tangerines,7.401720732583192
Peter Berg,Lone Survivor,7.392572273699479
Cary Joji Fukunaga,Beasts of No Nation,7.386902992218205
Pedro Almodóvar,The Skin I Live In,7.386559851516499
Elizabeth Chai Vasarhelyi,Free Solo,7.384597816593885
Aniruddha Roy Chowdhury,Pink,7.384426866766833
Michael Spierig,Predestination,7.383435623869079
Peter Spierig,Predestination,7.383435623869079
Brian Percival,The Book Thief,7.380022808856918
Yorgos Lanthimos,The Favourite,7.375324088191701
Tom Ford,Nocturnal Animals,7.373254973071578
Hayao Miyazaki,The Wind Rises,7.373184843442747
Clint Eastwood,Sully,7.371851259013341
Matt Reeves,War for the Planet of the Apes,7.371413636904421
Joshua Oppenheimer,The Act of Killing,7.3681052303305705
Anonymous,The Act of Killing,7.3681052303305705
Christine Cynn,The Act of Killing,7.3681052303305705
Rob Reiner,Flipped,7.357966769064511
Leigh Whannell,Upgrade,7.356252788933512
Michael Showalter,The Big Sick,7.354420074724048
Paul King,Paddington 2,7.351857486604832
Rian Johnson,Looper,7.349235104976264
Neil Burger,Limitless,7.348440018164602
Chad Stahelski,John Wick,7.34382098235153
David Leitch,John Wick,7.34382098235153
Jeong-beom Lee,The Man from Nowhere,7.342889142273231
Peter Jackson,The Hobbit: The Battle of the Five Armies,7.342449166452771
Glenn Ficarra,"Crazy, Stupid, Love.",7.342225981421736
John Requa,"Crazy, Stupid, Love.",7.342225981421736
Tigmanshu Dhulia,Paan Singh Tomar,7.341453018961616
Brad Bird,Mission: Impossible - Ghost Protocol,7.341118291837879
Tony Kaye,Detachment,7.338513785044258
Ken Loach,"I, Daniel Blake",7.3337893786127175
Laura Obiols,"I, Daniel Blake",7.3337893786127175
Spike Lee,BlacKkKlansman,7.332293468578489
Andy Muschietti,It,7.330538460336923
Pierre Coffin,Despicable Me 2,7.327736708826476
Chris Renaud,Despicable Me 2,7.327736708826476
Morten Tyldum,Headhunters,7.3274592244034205
Craig Gillespie,"I, Tonya",7.324910750713994
Tom Tykwer,Cloud Atlas,7.324085847277031
Lana Wachowski,Cloud Atlas,7.324085847277031
Lilly Wachowski,Cloud Atlas,7.324085847277031
John Lee Hancock,Saving Mr. Banks,7.323864514298821
Stephen Frears,Philomena,7.3213662228241745
Christopher McQuarrie,Mission: Impossible - Rogue Nation,7.320755990424824
Mamoru Hosoda,Wolf Children,7.319665218389587
Wilson Yip,Ip Man 2,7.31617925035386
Marc Webb,Gifted,7.305082801184071
Ethan Coen,Inside Llewyn Davis,7.303831868996161
Joel Coen,Inside Llewyn Davis,7.303831868996161
Lynne Ramsay,We Need to Talk About Kevin,7.30364707742617
Kathryn Bigelow,Zero Dark Thirty,7.303352114665739
Greg Berlanti,"Love, Simon",7.3027278911564615
Rajkumar Hirani,Sanju,7.301558275930536
Jon Favreau,The Jungle Book,7.299625029625199
Shane Black,The Nice Guys,7.299441936103899
Alex Gibney,Going Clear: Scientology & the Prison of Belief,7.298133008907673
Steven Spielberg,Lincoln,7.294829839062518
John Crowley,Brooklyn,7.294524929411848
Barry Jenkins,Moonlight,7.294523430211415
Richard Glatzer,Still Alice,7.294251121044615
Wash Westmoreland,Still Alice,7.294251121044615
Matthew Warchus,Pride,7.28747712062148
