tconst,primary_title,averagerating,numvotes,start_year,runtime_minutes,genres,weighted_rating
tt5442430,Life,6.6,182840,2017,104.0,"Horror,Sci-Fi,Thriller",6.567851352001539
tt0985694,Machete,6.6,182320,2010,105.0,"Action,Crime,Thriller",6.5677707167663515
tt2170299,Bad Words,6.7,44061,2013,89.0,"Comedy,Drama",6.5670483340814645
tt1667889,Ice Age: Continental Drift,6.6,175601,2012,88.0,"Adventure,Animation,Comedy",6.56669121789024
tt4622512,Battle of the Sexes,6.7,43245,2017,121.0,"Biography,Comedy,Drama",6.56545864165873
tt4123430,Fantastic Beasts: The Crimes of Grindelwald,6.6,163151,2018,134.0,"Adventure,Family,Fantasy",6.564487167222072
tt5109784,Mother!,6.6,156813,2017,121.0,"Drama,Horror,Mystery",6.563249190101918
tt1430626,The Pirates! Band of Misfits,6.7,41958,2012,88.0,"Adventure,Animation,Comedy",6.562872621643419
tt4244998,Alpha,6.7,41882,2018,96.0,"Adventure,Drama,Family",6.562716799736849
tt2404463,The Heat,6.6,153501,2013,117.0,"Action,Comedy,Crime",6.562567296541756
tt1821694,RED 2,6.6,148846,2013,116.0,"Action,Comedy,Crime",6.561564977048652
tt0472399,The Mechanic,6.6,141254,2011,93.0,"Action,Crime,Thriller",6.559809839161764
tt2226417,Insidious: Chapter 2,6.6,141228,2013,106.0,"Horror,Mystery,Thriller",6.559803552951367
tt3411444,Ferdinand,6.7,40229,2017,108.0,"Adventure,Animation,Comedy",6.559237838997992
tt1568338,Man on a Ledge,6.6,137507,2012,102.0,"Action,Adventure,Crime",6.558883155802519
tt2873282,Red Sparrow,6.6,136738,2018,140.0,"Action,Drama,Thriller",6.558687661526666
tt0448694,Puss in Boots,6.6,133355,2011,90.0,"Action,Adventure,Animation",6.557805089829812
tt2481498,"Extremely Wicked, Shockingly Evil and Vile",6.7,38459,2019,110.0,"Biography,Crime,Drama",6.5553116973163785
tt1204975,Last Vegas,6.6,121409,2013,105.0,"Comedy,Drama",6.554362265980916
tt2446980,Joy,6.6,118086,2015,124.0,Drama,6.5533023845799026
tt1616195,J. Edgar,6.6,115925,2011,137.0,"Biography,Crime,Drama",6.552586304772042
tt1055292,Life as We Know It,6.6,113077,2010,114.0,"Comedy,Drama,Romance",6.551608341722373
tt3741700,Godzilla: King of the Monsters,6.7,36479,2019,132.0,"Action,Adventure,Fantasy",6.550651848598708
tt3086442,Goodnight Mommy,6.7,35640,2014,99.0,"Horror,Mystery,Thriller",6.548585504617414
tt3758172,Jungle,6.7,35396,2017,115.0,"Action,Adventure,Biography",6.547973789654945
tt2870708,Wish I Was Here,6.7,34907,2014,106.0,"Comedy,Drama",6.546732852588178
tt2503944,Burnt,6.6,95988,2015,101.0,"Comedy,Drama",6.54477324197441
tt1872818,Liberal Arts,6.7,34091,2012,97.0,"Comedy,Drama,Romance",6.544616354436378
tt2199571,Run All Night,6.6,94131,2015,114.0,"Action,Drama,Thriller",6.543912373773409
tt2720680,The Salvation,6.7,32953,2014,92.0,"Drama,Western",6.5415651476196235
tt1502407,Halloween,6.6,88395,2018,106.0,"Horror,Thriller",6.541075223775298
tt2275946,Redirected,6.7,32666,2014,99.0,"Action,Comedy,Crime",6.540776627475462
tt0892318,Letters to Juliet,6.6,86137,2010,105.0,"Adventure,Comedy,Drama",6.539878033418213
tt2224026,Home,6.6,85831,2015,94.0,"Adventure,Animation,Comedy",6.539712039050446
tt1226273,Edge of Darkness,6.6,84753,2010,117.0,"Crime,Drama,Mystery",6.539119887383488
tt1781769,Anna Karenina,6.6,84668,2012,129.0,"Drama,Romance",6.539072701243754
tt1853739,You're Next,6.6,79451,2011,95.0,"Action,Comedy,Horror",6.536029573675695
tt3513498,The Lego Movie 2: The Second Part,6.7,30990,2019,107.0,"Action,Adventure,Animation",6.536010448294338
tt5022702,Hush,6.6,79100,2016,82.0,"Horror,Thriller",6.535813880883765
tt1440345,This Must Be the Place,6.7,30457,2011,118.0,"Comedy,Drama",6.534434336512973
tt1167638,22 Bullets,6.7,30360,2010,117.0,"Action,Crime,Drama",6.534144237716763
tt2294677,In a World...,6.7,29387,2013,93.0,Comedy,6.531177027598508
tt1512685,Julia's Eyes,6.7,29259,2010,118.0,"Horror,Mystery,Thriller",6.530778764813211
tt1674771,Entourage,6.6,71519,2015,104.0,Comedy,6.5307724385872215
tt1435513,Hysteria,6.7,29014,2011,100.0,"Comedy,Romance",6.530011200799793
tt2084989,Upstream Color,6.7,28483,2013,96.0,"Drama,Sci-Fi",6.528323485967503
tt2649554,Midnight Special,6.6,67921,2016,112.0,"Action,Drama,Mystery",6.528091873742211
tt3616916,The Wave,6.7,28167,2015,105.0,"Action,Drama,Thriller",6.527303120356612
tt3179568,"Men, Women & Children",6.7,28110,2014,119.0,"Comedy,Drama",6.527117774430428
tt1212428,The Lost City of Z,6.6,66475,2016,141.0,"Adventure,Biography,Drama",6.526955179010659
tt2568862,Going in Style,6.6,66418,2017,96.0,"Comedy,Crime",6.5269096348640305
tt3748172,Gerald's Game,6.6,65722,2017,103.0,"Drama,Horror,Thriller",6.526348901038336
tt1371150,This Is Where I Leave You,6.6,65202,2014,103.0,"Comedy,Drama",6.525924314316756
tt4513674,Café Society,6.6,62466,2016,96.0,"Comedy,Drama,Romance",6.523607173072965
tt2870756,Magic in the Moonlight,6.6,59054,2014,97.0,"Comedy,Romance",6.520506162704927
tt5649108,Thoroughbreds,6.7,25098,2017,92.0,"Comedy,Crime,Drama",6.516723721505849
tt1645080,The Art of Getting By,6.6,53682,2011,83.0,"Drama,Romance",6.5150787346534145
tt3715320,Irrational Man,6.6,50303,2015,95.0,"Comedy,Drama",6.511268143367461
tt1413492,12 Strong,6.6,50155,2018,130.0,"Action,Drama,History",6.511093406958951
tt2884018,Macbeth,6.6,48899,2015,113.0,"Drama,History,War",6.509582335349599
tt1764183,Arbitrage,6.6,46774,2012,107.0,"Drama,Thriller",6.5069053556998355
tt3553442,Whiskey Tango Foxtrot,6.6,46265,2016,112.0,"Biography,Comedy,Drama",6.506240440608995
tt1294688,Last Night,6.6,44728,2010,93.0,"Drama,Romance",6.504173717875172
tt6998518,Mandy,6.6,44378,2018,121.0,"Action,Fantasy,Horror",6.5036902908703045
tt1017451,The Runaways,6.6,43792,2010,106.0,"Biography,Drama,Music",6.502869883125944
